namya@DESKTOP-TD6EJFU MINGW64 ~
$ tracert 161.170.248.216

Tracing route to 161.170.248.216 over a maximum of 30 hops

  1     2 ms     4 ms     2 ms  10.0.0.1
  2    18 ms    10 ms     9 ms  99.226.232.1
  3    12 ms     8 ms     9 ms  24.156.149.77
  4    12 ms    13 ms    13 ms  209.148.230.117
  5    12 ms    13 ms    18 ms  209.148.235.218
  6    18 ms    18 ms    22 ms  ix-ae-13-0.tcore1.tnk-toronto.as6453.net [64.86.33.5]
  7    21 ms    20 ms    23 ms  if-ae-2-2.tcore2.tnk-toronto.as6453.net [64.86.33.90]
  8    20 ms    20 ms    19 ms  if-ae-8-2.tcore1.ct8-chicago.as6453.net [66.110.48.2]
  9    21 ms    23 ms    19 ms  if-ae-22-2.tcore2.ct8-chicago.as6453.net [64.86.79.1]
 10    26 ms    22 ms    23 ms  64.86.79.42
 11    51 ms    46 ms    47 ms  cr2.cgcil.ip.att.net [12.122.132.198]
 12    43 ms    47 ms    46 ms  sl9mo22crs.ip.att.net [12.122.2.178]
 13    42 ms    49 ms    45 ms  kc9mo22crs.ip.att.net [12.122.28.37]
 14    41 ms    41 ms    46 ms  12.122.116.133
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23     *        *        *     Request timed out.
 24     *        *        *     Request timed out.
 25     *        *        *     Request timed out.
 26     *        *        *     Request timed out.
 27     *        *        *     Request timed out.
 28     *        *        *     Request timed out.
 29     *        *        *     Request timed out.
 30     *        *        *     Request timed out.

Trace complete.

