05:58:47.883162 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 322300:322464, ack 145, win 501, length 164
05:58:47.883243 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 322464:322628, ack 145, win 501, length 164
05:58:47.883329 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 322628:322792, ack 145, win 501, length 164
05:58:47.883409 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 322792:322956, ack 145, win 501, length 164
05:58:47.883495 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 322956:323120, ack 145, win 501, length 164
05:58:47.883575 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 323120:323284, ack 145, win 501, length 164
05:58:47.883660 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 323284:323448, ack 145, win 501, length 164
05:58:47.883748 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 323448:323612, ack 145, win 501, length 164
05:58:47.883832 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 323612:323776, ack 145, win 501, length 164
05:58:47.883915 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 323776:323940, ack 145, win 501, length 164
05:58:47.884001 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 323940:324104, ack 145, win 501, length 164
05:58:47.884082 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 324104:324268, ack 145, win 501, length 164
05:58:47.884163 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 324268:324432, ack 145, win 501, length 164
05:58:47.884273 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 324432:324596, ack 145, win 501, length 164
05:58:47.884358 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 324596:324760, ack 145, win 501, length 164
05:58:47.884443 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 324760:324924, ack 145, win 501, length 164
05:58:47.884527 IP 99.226.233.187.65116 > 143.110.210.251.22: Flags [.], ack 306780, win 513, length 0
05:58:47.884612 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 324924:325088, ack 145, win 501, length 164
05:58:47.884694 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 325088:325228, ack 145, win 501, length 140
05:58:47.884771 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 325228:325392, ack 145, win 501, length 164
05:58:47.884845 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 325392:325556, ack 145, win 501, length 164
05:58:47.884921 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 325556:325720, ack 145, win 501, length 164
05:58:47.884997 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 325720:325884, ack 145, win 501, length 164
05:58:47.885073 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 325884:326048, ack 145, win 501, length 164
05:58:47.885147 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 326048:326212, ack 145, win 501, length 164
05:58:47.885222 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 326212:326376, ack 145, win 501, length 164
05:58:47.885298 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 326376:326540, ack 145, win 501, length 164
05:58:47.885385 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 326540:326868, ack 145, win 501, length 328
05:58:47.885467 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 326868:327032, ack 145, win 501, length 164
05:58:47.885549 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 327032:327196, ack 145, win 501, length 164
05:58:47.885631 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 327196:327360, ack 145, win 501, length 164
05:58:47.885712 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 327360:327524, ack 145, win 501, length 164
05:58:47.885818 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 327524:327688, ack 145, win 501, length 164
05:58:47.885904 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 327688:327852, ack 145, win 501, length 164
05:58:47.886004 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 327852:328016, ack 145, win 501, length 164
05:58:47.886088 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 328016:328180, ack 145, win 501, length 164
05:58:47.886171 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 328180:328344, ack 145, win 501, length 164
05:58:47.886254 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 328344:328508, ack 145, win 501, length 164
05:58:47.886335 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 328508:328672, ack 145, win 501, length 164
05:58:47.886418 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 328672:328836, ack 145, win 501, length 164
05:58:47.886500 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 328836:329000, ack 145, win 501, length 164
05:58:47.886581 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 329000:329164, ack 145, win 501, length 164
05:58:47.886664 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 329164:329328, ack 145, win 501, length 164
05:58:47.886751 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 329328:329492, ack 145, win 501, length 164
05:58:47.886832 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 329492:329656, ack 145, win 501, length 164
05:58:47.886917 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 329656:329820, ack 145, win 501, length 164
05:58:47.886998 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 329820:329984, ack 145, win 501, length 164
05:58:47.887081 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 329984:330148, ack 145, win 501, length 164
05:58:47.887162 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330148:330312, ack 145, win 501, length 164
05:58:47.887241 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330312:330476, ack 145, win 501, length 164
05:58:47.887322 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330476:330640, ack 145, win 501, length 164
05:58:47.887408 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330640:330804, ack 145, win 501, length 164
05:58:47.887655 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330804:330968, ack 145, win 501, length 164
05:58:47.887750 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330968:331132, ack 145, win 501, length 164
05:58:47.887883 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331132:331296, ack 145, win 501, length 164
05:58:47.888003 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331296:331460, ack 145, win 501, length 164
05:58:47.888095 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331460:331624, ack 145, win 501, length 164
05:58:47.888186 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331624:331788, ack 145, win 501, length 164
05:58:47.888288 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331788:331952, ack 145, win 501, length 164
05:58:47.888378 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331952:332116, ack 145, win 501, length 164
05:58:47.888461 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332116:332280, ack 145, win 501, length 164
05:58:47.888548 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332280:332444, ack 145, win 501, length 164
05:58:47.888571 IP 99.226.233.187.65116 > 143.110.210.251.22: Flags [.], ack 309404, win 510, length 0
05:58:47.888571 IP 99.226.233.187.65116 > 143.110.210.251.22: Flags [.], ack 320496, win 511, length 0
05:58:47.888724 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332444:332816, ack 145, win 501, length 372
05:58:47.888811 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332816:332980, ack 145, win 501, length 164
05:58:47.888893 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332980:333144, ack 145, win 501, length 164
05:58:47.888977 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333144:333308, ack 145, win 501, length 164
05:58:47.889057 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333308:333472, ack 145, win 501, length 164
05:58:47.889137 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333472:333636, ack 145, win 501, length 164
05:58:47.889217 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333636:333800, ack 145, win 501, length 164
05:58:47.889303 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333800:333964, ack 145, win 501, length 164
